id,name,description,created_at,updated_at
4c0606bf-264d-44db-aa4f-4970cefb993e,Fintech,,22/10/2023 06:19,22/10/2023 06:19
ef9958ed-23a6-4540-bb77-96fb61a308a6,Adtech,,22/10/2023 06:19,22/10/2023 06:19
530188ab-9da8-4abe-9658-119446b4c0e0,Proptech,,22/10/2023 06:19,22/10/2023 06:19
b827d15d-ec95-478a-aa79-db0c8458ff97,Agritech,,22/10/2023 06:19,22/10/2023 06:19
febf1ddc-da1a-4016-9bf5-6f1d260ca6c0,Traveltech,,22/10/2023 06:19,22/10/2023 06:19
840cba7e-a373-4a52-8a34-48457c18fe1c,Greentech,,22/10/2023 06:19,22/10/2023 06:19
ddb03a10-a1ed-406f-8ee6-274fb3356ee3,Edtech,,22/10/2023 06:19,22/10/2023 06:19
f2c32f29-1256-4fee-ac04-e03522ef7c54,Insurtech,,22/10/2023 06:19,22/10/2023 06:19
69194894-1138-4116-9a64-87284f5942e9,Foodtech,,22/10/2023 06:19,22/10/2023 06:19
d98d5164-f0d8-4c46-b48b-baf4d2933457,Retailtech,,22/10/2023 06:19,22/10/2023 06:19
f48b21eb-ac7d-437c-867a-0930a3341b79,Revtech,,22/10/2023 06:19,22/10/2023 06:19
b8cc2629-0dd9-4486-82b2-eae181d3f7c7,Biotech,,22/10/2023 06:19,22/10/2023 06:19
c0aa5582-4400-4de0-8794-513c8e0d5aa3,Healthtech,,22/10/2023 06:19,22/10/2023 06:19
756bdf58-2c5e-479c-8565-7ab2c80015b1,Sales and Marketing,,22/10/2023 06:19,22/10/2023 06:19
1ee3d0a8-a419-4a38-9fde-c6bf1fe08887,Content Management Systems (CMS),,22/10/2023 06:19,22/10/2023 06:19
ebcfde86-9370-4ddf-b15a-e0633d7d7a12,Web Hosting,,22/10/2023 06:19,22/10/2023 06:19
a854b6c0-8fec-470c-a427-1e54a96a879e,E-Commerce,,22/10/2023 06:19,22/10/2023 06:19
f7b46898-56b3-431e-88ad-6ad731d620e8,Social Media Management,,22/10/2023 06:19,22/10/2023 06:19
4d461963-5746-4781-a2eb-d0ec8cc1b866,Security and Compliance,,22/10/2023 06:19,22/10/2023 06:19
63854a3d-590b-4ff6-9aa2-d38ffa93e1d1,Business Intelligence and Analytics,,22/10/2023 06:19,22/10/2023 06:19
4b3ed348-811d-404f-a465-1089ca0b11fd,Accounting,,22/10/2023 06:19,22/10/2023 06:19
42143f5b-d450-4e00-a9ae-d7fd8b54ed79,Customer Relationship Management (CRM),,22/10/2023 06:19,22/10/2023 06:19
c8acc483-3273-42b2-b4de-bb3dbd1ab624,Enterprise Resource Planning (ERP),,22/10/2023 06:19,22/10/2023 06:19
bfd4bf41-2318-4e2d-9c2f-f1a2173e7cf0,Human Capital Management (HCM),,22/10/2023 06:19,22/10/2023 06:19
e2fcda72-e3f4-4823-bc33-5736b1ad19ef,Project Management,,22/10/2023 06:19,22/10/2023 06:19
d02911c7-d326-4e89-b47b-09951f83e693,Salesforce Automation (SFA),,22/10/2023 06:19,22/10/2023 06:19
