id,year,business_id,created_at,updated_at
9cb7efec-53c0-4cc9-aed8-bb410651d728,2023,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
7db28175-f010-41c8-b118-5791ba406f77,2024,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
43a08fd4-e951-4aa9-9cc7-8af0b8b01d39,2025,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
627c56f7-e2b5-46c6-8992-65a701f61b08,2026,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
a394765b-9cc1-448f-a2d6-9e3f806e04ad,2027,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
c7e88ade-fed9-4d83-bae6-cc59203b5996,2028,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
147e3949-01fb-4d60-87b6-db6e2bd2607f,2029,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
0de714cc-13de-4de0-a954-b03213de0789,2030,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
93de2d1b-9876-4aba-9a7c-1b06ee29265e,2031,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
868e1c31-b718-4e91-a1ce-67965041b911,2032,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
974c551b-06f3-49d5-ab2d-7bc027b480fb,2022,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
c758f00c-5a9d-46ce-a5e3-370d57551529,2021,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
dba05af8-3cf8-45ef-9ca8-6dad92357070,2020,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
dad75224-51c7-4e75-950a-5d03009d4a78,2019,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
b601dae8-849c-4b7a-a842-b9c2a8715f6d,2018,ec91961a-26e5-4c71-b1da-2621058e5cb3,2023-10-22 09:19:19,2023-10-22 09:19:19
b87fd354-e9ee-4638-9e5e-1962440dc44c,2023,22dfff08-9907-4145-a2ab-abaa8567cccc,2023-10-29 14:56:09,2023-10-29 14:56:09
d4c8875d-d337-4f13-bb62-789ccdb9caf9,2024,22dfff08-9907-4145-a2ab-abaa8567cccc,2023-10-29 14:56:09,2023-10-29 14:56:09
292dd84d-d6c3-4ee2-a5cd-bd38f04401e3,2023,a16c38db-cea9-4a62-b059-be31b7e5e2a9,2023-10-29 14:56:14,2023-10-29 14:56:14
32586968-83a3-45a3-9095-6359fa698336,2024,a16c38db-cea9-4a62-b059-be31b7e5e2a9,2023-10-29 14:56:14,2023-10-29 14:56:14
4c331a3e-1038-477d-8f45-2033a04d72fe,2023,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
11089d96-e1e0-4e49-8670-08f4f48d5616,2024,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
fe39dc24-febb-4e08-9d82-09a85e310761,2025,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
c9dedb45-af98-4b7d-867c-7db3293b7834,2026,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
bfd2bd1a-b9b7-49ca-9ffb-3cd5a7f074eb,2027,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
28591297-758c-46c2-a32f-1c458bea5cd1,2028,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40
